audit,2011B,2011C,2011D,2011E,2012B,2012C,2012D,2012E,2013B,2013C,2013D,2013E,2014B,2014C,2014D,2014E,2015B,2015C,2015D,2015E,2016B,2016C,2016D,2016E,2017B,2017C,2017D,2017E
N,7.24,24.1,1.71,21.06,1.68,36.32,1.51,18.23,6.94,25.38,1.67,18.76,1.07,28.43,1.42,11.82,5.18,23.84,1.49,9.99,7.7,20.62,1.4,10.41,9.36,16.99,1.23,12.87
N,-15.78,75.14,0.41,3.6,-2.54,49.49,0.38,7.16,2.7,36.04,0.48,4.93,-19.38,50.62,0.23,1.28,-31.92,109.2,0.25,1.04,0.33,155.41,0.49,2.24,-85.78,105.2,0.06,0.35
N,-12.83,94.41,1.28,9.26,-23.41,159.82,1.44,8.98,1.86,89.75,1.42,8.92,2.82,124.98,1.24,8.83,5.19,121.44,1.13,8.76,-4.02,101.22,1.16,8.92,-29.79,185.76,1.23,7.7
N,3.24,57.63,1.33,2.83,4.07,67.34,1.3,2.8,1.33,65.07,1.44,3.17,1.69,65.48,1.28,2.89,1.88,85.07,1.2,2.96,3.68,98.8,1.16,2.96,5.11,65.27,1.23,3.47
N,-27.66,71.44,0.31,2.54,-13.58,93.37,0.29,2.44,0.73,84.56,0.42,3.33,-2.54,20.18,0.44,2.37,-8.16,19.41,0.36,1.42,-32.61,72.73,0.37,1.31,-1.72,69.48,0.47,1.53
N,8.67,52.34,0.89,2.54,6.51,38.41,0.81,2.43,9.04,63.65,0.82,2.71,6.38,21.27,0.61,2.64,8.21,17.74,0.54,2.79,7.37,30.52,0.52,2.61,7.62,42.5,0.47,2.49
N,7.66,123.54,1.07,4.74,7.14,83.9,1.16,4.07,6.98,87.56,1.15,3.63,4.75,100.08,1.07,3.18,5.3,67.63,1.08,3.16,3.95,40.79,1.2,3.7,5.27,37.66,1.31,4.1
N,12.76,43.13,1.36,10.82,3.69,63.16,1.12,11.41,13.05,57.69,1.48,13.82,11.66,62.55,1.43,13.12,4.93,60.87,1,7.53,6.62,86.11,1.07,7.71,5.99,69.02,0.97,7.97
N,-20.85,288.5,0.7,23.03,-4.75,189.14,0.96,30.25,-3.83,128.23,0.89,30.81,-13.89,108.86,0.72,25.34,3.48,89.54,0.38,12.27,-0.6,94.07,0.65,17.88,-26.32,20.38,0.51,4.91
N,2.59,12.47,0.43,11.52,-5.19,13.28,0.41,11.4,-16.21,16.75,0.44,10.3,-96.18,22.53,0.35,11.63,5.87,23.4,0.54,14.71,-6.39,13.83,0.37,9.12,-18.87,5.94,0.17,7.71
N,9.21,63.4,1.72,5.36,9.35,59.35,1.38,5.14,8.77,87.79,1.43,5.78,6.38,78.4,1.28,5.65,5.46,70.99,1.24,6.59,8.51,87.87,1.37,6.51,9.15,67.74,1.7,8.58
N,3.06,11.38,0.67,11.69,2.61,9.8,0.58,10.03,1.15,9.26,0.47,8.85,0.98,10.14,0.44,8.2,-2.37,9.35,0.37,6.17,-1.1,9.22,0.34,6.25,4.82,8.91,0.29,6.55
N,8.65,35.2,1.19,4.39,4.56,34.97,1.1,5.09,4.93,35.08,1.31,7.39,10.74,25.65,1.27,6.6,5.78,14.05,1.26,7.55,7.98,9.66,1.05,8.14,2.17,7.93,0.76,7.69
N,9.42,40.53,0.34,5.31,-5.17,71.23,0.27,5.28,-35.69,163.84,0.21,4.51,-10.88,163.2,0.23,4.35,-13.87,173.18,0.23,4.01,-0.48,112.31,0.17,3.14,-16.54,133.84,0.13,3.8
N,-6.33,15.56,0.9,16.24,1.15,12.02,0.98,17.16,-32,8.69,0.99,15.55,-5.22,8.95,0.8,12.51,7.85,5.02,0.8,14.32,23.05,49.59,0.46,14.28,1.16,46.85,0.35,13.76
N,5.43,9.59,0.78,12.75,1.38,6.73,0.69,11.96,0.02,10.11,0.73,11.72,-10.94,9.73,0.8,10.7,-7.87,14.82,0.76,7.66,-15.27,17.1,0.78,7.87,2.98,15.24,1,8.96
N,3.16,94.81,1.05,14.24,4.52,168.1,1.05,25.5,3.4,203.97,1.36,25.9,3.98,183.36,1.51,12.25,1.82,131.68,1.18,9.4,3.75,161.95,1.47,12.59,1.76,163.75,1.13,8.13
N,4.44,140.78,1.65,3.45,3.01,133.59,1.41,2.92,3.06,128.12,1.59,3.33,-4.94,150.78,1.66,3.47,2.37,113.08,1.39,3.38,2.29,148.67,1.49,3.57,0.89,95.77,1.3,3.27
N,2.83,115.16,1.4,6.32,-40.37,149.3,1.08,4.23,-31.39,140.56,0.99,3.92,-26.16,29.73,0.24,1.63,-78.22,46.11,0.44,2.94,-76.83,13.81,0.26,1.38,-17.01,80.76,0.1,2.55
N,-5.73,269.89,1.1,6.03,-26.54,2212.08,0.68,3.61,-30.88,1362.71,0.41,1.74,8.82,614.44,0.92,3.71,5.25,296.05,1.14,5.08,-5.49,77.93,0.38,2.37,-3.16,52.96,0.28,2.81
