audit,2007A,2007B,2007C,2007D,2007E,2008A,2008B,2008C,2008D,2008E,2009A,2009B,2009C,2009D,2009E,2010A,2010B,2010C,2010D,2010E,2011A,2011B,2011C,2011D,2011E,2012A,2012B,2012C,2012D,2012E,2013A,2013B,2013C,2013D,2013E,2014A,2014B,2014C,2014D,2014E,2015A,2015B,2015C,2015D,2015E,2016A,2016B,2016C,2016D,2016E,2017A,2017B,2017C,2017D,2017E
Y,154.59,5.06,150.98,0.97,25.86,119.86,8.47,187.91,0.86,28.31,141.75,7.94,181.73,0.82,29.49,117.24,3.97,192.51,0.91,29.29,161.58,6.17,78.15,0.92,29.5,140.38,7.72,73.44,1.04,22.17,164.79,7.83,88.96,1.09,15.46,112.48,8.71,102.82,1.05,10.27,134.29,7.46,81.14,1.06,9.13,76.63,1.62,112.59,1.02,8.44,73.9,-9.36,192.12,1.08,13.13
Y,50.61,-6.23,192.24,1.24,4.26,35.5,2.58,136.13,1.27,7.09,34.04,-0.84,138.19,0.98,6.86,32.84,1.53,135.9,1.13,7.55,39.8,1.96,222.49,1.13,6.78,46.42,0.21,284.64,0.88,5.79,53.01,4.46,241.14,0.86,6.38,92.14,2.55,210.74,0.91,1.36,107.95,20.15,63.78,0.93,1.3,97.15,2.79,45.48,1.01,5.91,79.41,2.31,38.99,1.06,5.54
N,77.46,17.55,110.46,0.81,4.43,169.42,10.14,54.92,0.74,3.58,227.7,7.05,91.76,0.64,3.48,293.53,1.63,57.45,0.52,3.07,153.04,3.43,30.26,0.5,2.87,93.01,3.89,68.17,0.47,3.19,111.79,3.62,85.18,0.43,3.4,74.28,-6.03,81.63,0.43,2.78,110.98,1.03,54.33,0.52,2.68,127.55,0.78,63.82,0.51,2.61,109.93,-4.59,82.37,0.52,2.61
N,101.62,1.32,232.6,1.34,4.36,69.86,0.24,218.26,1.07,3.84,83.5,6.19,132.2,0.83,3.49,77.85,-1.58,151.14,0.55,2.87,73.05,-1.99,170.35,0.56,2.88,82.26,-0.09,173.84,0.58,2.63,76.51,-0.68,172.13,0.56,2.54,58.15,-3.45,181.04,0.63,2.97,53.9,-3.19,135.89,0.56,3.17,56.81,2.1,139.68,0.62,4.05,27.47,1.25,23.1,0.22,2.19
N,577.02,6.48,19.53,0.73,3.56,728.41,5.79,14.2,0.68,3.64,932.75,4.8,10.35,0.72,4.4,721.04,2.9,21.64,0.76,4.8,287.18,-1.2,34.05,0.67,4.23,365.2,1.71,29.19,0.63,4.2,208.83,1.59,46.81,0.79,5.76,276.19,7.2,31.48,0.89,6.82,287.03,15.12,29.19,1.03,9.26,433.98,13.22,22.74,0.91,8.41,622.51,4.43,14.81,0.68,6.87
N,126.76,0.58,118.57,0.6,3.06,71.94,-22.55,255.29,0.59,3.53,82.48,-10.72,104.94,0.54,3.46,63.77,-10.81,142.21,0.66,4.58,63.24,-2.54,118,0.74,4.18,45.38,-10.83,96.2,0.45,2.19,50.5,-0.37,106.94,0.42,2.29,56.6,-3.11,132.84,0.63,3.21,62.12,-1.23,157.56,0.55,2.54,161.66,-33.27,167.25,0.53,1.84,126,-12.04,204.76,0.48,2.22
N,519.35,14.82,44.23,0.89,2.66,512.34,12.78,48.05,0.78,2.53,295.41,6.03,66.89,0.69,2.63,182.82,-1.44,75.5,0.72,2.97,208.3,2.07,84.66,0.74,2.83,204.84,4.06,70.01,0.78,3,180.15,7.63,44.79,0.81,3.09,216.86,9.95,34.74,0.89,3.26,174.58,13.65,39.99,0,0.01,742.97,195.94,0.87,0.04,0.35,133.13,3.29,2.63,0.08,7.78
N,151.67,2.94,227.88,1.15,4.24,141.06,1.92,438.02,1.34,5.99,132.01,1.06,344.35,0.86,4.52,140.19,0.87,358.62,0.96,4.71,153.9,0.71,364.35,0.96,5.06,112.16,1.37,394.05,0.94,5.05,145.52,-0.65,397.56,0.92,5.15,138.01,0.21,403.18,0.84,5.22,174.1,0.13,357.12,0.6,4.42,145.97,-2.03,376.22,0.52,4.59,107.52,-2.8,407.66,0.58,4.5
N,235.6,17.3,26.6,0.63,8.47,265.98,21.39,23.81,0.63,7.24,264.54,16.25,24.26,0.61,6.55,328.66,18.55,21.12,0.5,5.93,338.03,14.54,19.24,0.47,5.15,330.71,13.56,20.69,0.47,4.46,315.34,8.36,20.86,0.42,3.84,379.52,12.07,17.84,0.44,3.84,278.38,14.38,26.33,0.41,3.52,274.24,13.66,28.73,0.37,3.3,326.57,11.37,21.44,0.35,3.25
N,330.2,4.2,26.81,0.54,1.88,425.64,1.22,18.24,0.66,2.35,296.68,3.05,25.54,0.75,2.58,322.39,4.09,22.3,0.86,3.22,298.89,4.12,27.09,0.81,2.95,245,3.31,32.13,0.72,2.59,321.1,2.92,56.63,0.68,2.86,433.49,2.98,43.11,0.59,3.82,197.01,2.41,42.27,0.59,4.8,190.83,4.95,45.88,0.64,4.89,155.54,3.24,55.95,0.71,5
N,236.81,5.35,50.75,0.72,1.98,217.68,2.8,87.73,0.67,2.11,156.21,4.46,90.59,0.64,2.31,174.05,2.79,93.64,0.66,2.41,161.88,2.49,96.37,0.57,2.15,214.05,2.06,74.34,0.54,2.23,166.66,1.21,63.18,0.53,2.6,133.29,1.88,70.8,0.66,3.66,128.13,2.8,64.24,0.69,3.76,65.72,4.17,91,0.72,4.38,59.41,9.79,93.58,0.62,4.83
