audit,2011A,2011B,2011C,2011D,2012A,2012B,2012C,2012D,2013A,2013B,2013C,2013D,2014A,2014B,2014C,2014D,2015A,2015B,2015C,2015D,2016A,2016B,2016C,2016D,2017A,2017B,2017C,2017D
N,398.77,7.24,24.1,1.71,269.73,1.68,36.32,1.51,398.41,6.94,25.38,1.67,319.47,1.07,28.43,1.42,363.79,5.18,23.84,1.49,462.71,7.7,20.62,1.4,486.23,9.36,16.99,1.23
N,201.67,-15.78,75.14,0.41,308.52,-2.54,49.49,0.38,231.72,2.7,36.04,0.48,380.15,-19.38,50.62,0.23,169.18,-31.92,109.2,0.25,67.67,0.33,155.41,0.49,164.89,-85.78,105.2,0.06
N,177.77,-12.83,94.41,1.28,136.4,-23.41,159.82,1.44,160.31,1.86,89.75,1.42,138.9,2.82,124.98,1.24,150.05,5.19,121.44,1.13,152.23,-4.02,101.22,1.16,135.12,-29.79,185.76,1.23
N,205.87,3.24,57.63,1.33,202.3,4.07,67.34,1.3,214.78,1.33,65.07,1.44,186.79,1.69,65.48,1.28,155.49,1.88,85.07,1.2,145.86,3.68,98.8,1.16,174.27,5.11,65.27,1.23
N,562.51,-27.66,71.44,0.31,428.29,-13.58,93.37,0.29,502.3,0.73,84.56,0.42,478.71,-2.54,20.18,0.44,727.32,-8.16,19.41,0.36,391,-32.61,72.73,0.37,156.3,-1.72,69.48,0.47
N,273.35,8.67,52.34,0.89,527.76,6.51,38.41,0.81,182.88,9.04,63.65,0.82,473.5,6.38,21.27,0.61,279.27,8.21,17.74,0.54,276.57,7.37,30.52,0.52,216.26,7.62,42.5,0.47
N,164.15,7.66,123.54,1.07,165.87,7.14,83.9,1.16,154.68,6.98,87.56,1.15,153.76,4.75,100.08,1.07,190.2,5.3,67.63,1.08,248.47,3.95,40.79,1.2,268.26,5.27,37.66,1.31
N,174.67,12.76,43.13,1.36,124.86,3.69,63.16,1.12,150.69,13.05,57.69,1.48,130.09,11.66,62.55,1.43,116.47,4.93,60.87,1,104.77,6.62,86.11,1.07,181.24,5.99,69.02,0.97
N,69.97,-20.85,288.5,0.7,94.21,-4.75,189.14,0.96,112.14,-3.83,128.23,0.89,141.02,-13.89,108.86,0.72,63.91,3.48,89.54,0.38,213.19,-0.6,94.07,0.65,325.36,-26.32,20.38,0.51
N,971.08,2.59,12.47,0.43,846.08,-5.19,13.28,0.41,703.89,-16.21,16.75,0.44,156.63,-96.18,22.53,0.35,199.21,5.87,23.4,0.54,192.36,-6.39,13.83,0.37,957.54,-18.87,5.94,0.17
N,192.15,9.21,63.4,1.72,216.64,9.35,59.35,1.38,175.37,8.77,87.79,1.43,191.77,6.38,78.4,1.28,191.6,5.46,70.99,1.24,179.66,8.51,87.87,1.37,211.01,9.15,67.74,1.7
N,496.76,3.06,11.38,0.67,632.3,2.61,9.8,0.58,703.45,1.15,9.26,0.47,634.49,0.98,10.14,0.44,725.29,-2.37,9.35,0.37,755.95,-1.1,9.22,0.34,709.77,4.82,8.91,0.29
N,268.04,8.65,35.2,1.19,292.32,4.56,34.97,1.1,258.15,4.93,35.08,1.31,348.57,10.74,25.65,1.27,590.06,5.78,14.05,1.26,806.58,7.98,9.66,1.05,890.27,2.17,7.93,0.76
N,79.35,9.42,40.53,0.34,55.58,-5.17,71.23,0.27,18.92,-35.69,163.84,0.21,18.87,-10.88,163.2,0.23,15.93,-13.87,173.18,0.23,23.33,-0.48,112.31,0.17,6.87,-16.54,133.84,0.13
N,388.16,-6.33,15.56,0.9,484.22,1.15,12.02,0.98,1208.64,-32,8.69,0.99,703.02,-5.22,8.95,0.8,1260.55,7.85,5.02,0.8,949.52,23.05,49.59,0.46,1095.59,1.16,46.85,0.35
N,696.34,5.43,9.59,0.78,858.35,1.38,6.73,0.69,563.78,0.02,10.11,0.73,584.13,-10.94,9.73,0.8,386.99,-7.87,14.82,0.76,279.1,-15.27,17.1,0.78,332.39,2.98,15.24,1
N,406.88,3.16,94.81,1.05,145.5,4.52,168.1,1.05,123.19,3.4,203.97,1.36,98.3,3.98,183.36,1.51,81.41,1.82,131.68,1.18,77.92,3.75,161.95,1.47,80.88,1.76,163.75,1.13
N,139.75,4.44,140.78,1.65,155.25,3.01,133.59,1.41,160.22,3.06,128.12,1.59,151.92,-4.94,150.78,1.66,149.91,2.37,113.08,1.39,146.6,2.29,148.67,1.49,176.59,0.89,95.77,1.3
N,186.55,2.83,115.16,1.4,93.56,-40.37,149.3,1.08,135.39,-31.39,140.56,0.99,686.85,-26.16,29.73,0.24,402.73,-78.22,46.11,0.44,735.91,-76.83,13.81,0.26,993.21,-17.01,80.76,0.1
N,68,-5.73,269.89,1.1,53.54,-26.54,2212.08,0.68,102.38,-30.88,1362.71,0.41,74.14,8.82,614.44,0.92,73.72,5.25,296.05,1.14,134.94,-5.49,77.93,0.38,256.38,-3.16,52.96,0.28
