audit,2011A,2011B,2011C,2011E,2012A,2012B,2012C,2012E,2013A,2013B,2013C,2013E,2014A,2014B,2014C,2014E,2015A,2015B,2015C,2015E,2016A,2016B,2016C,2016E,2017A,2017B,2017C,2017E
N,54.16,3.24,95.66,3.1,51.37,1.44,96.25,3.1,24.52,0.87,127.94,2.87,170.71,2.9,82.21,2.81,170.78,-1.14,71.15,3.24,79.03,1.1,69.83,3.26,116.22,1.49,56.51,2.94
N,232.67,15.53,42.91,3.57,228.1,4.3,41.32,3.49,180.51,4.63,49.9,3.68,266.98,2.6,40.61,3.73,413.82,1.31,24.15,3.9,773.78,0.82,17.49,3.31,620.73,6.42,15.86,3.34
N,128.59,0.4,106.71,7.11,127.76,1.42,139.5,7.92,112.02,-3.65,183.19,6.63,116.69,1.94,166.63,6.22,110.2,-1.83,188.73,4.57,116.95,-1.88,160.46,5.73,105.96,2.36,149.81,7.44
N,398.77,7.24,24.1,21.06,269.73,1.68,36.32,18.23,398.41,6.94,25.38,18.76,319.47,1.07,28.43,11.82,363.79,5.18,23.84,9.99,462.71,7.7,20.62,10.41,486.23,9.36,16.99,12.87
N,201.67,-15.78,75.14,3.6,308.52,-2.54,49.49,7.16,231.72,2.7,36.04,4.93,380.15,-19.38,50.62,1.28,169.18,-31.92,109.2,1.04,67.67,0.33,155.41,2.24,164.89,-85.78,105.2,0.35
N,177.77,-12.83,94.41,9.26,136.4,-23.41,159.82,8.98,160.31,1.86,89.75,8.92,138.9,2.82,124.98,8.83,150.05,5.19,121.44,8.76,152.23,-4.02,101.22,8.92,135.12,-29.79,185.76,7.7
N,205.87,3.24,57.63,2.83,202.3,4.07,67.34,2.8,214.78,1.33,65.07,3.17,186.79,1.69,65.48,2.89,155.49,1.88,85.07,2.96,145.86,3.68,98.8,2.96,174.27,5.11,65.27,3.47
N,562.51,-27.66,71.44,2.54,428.29,-13.58,93.37,2.44,502.3,0.73,84.56,3.33,478.71,-2.54,20.18,2.37,727.32,-8.16,19.41,1.42,391,-32.61,72.73,1.31,156.3,-1.72,69.48,1.53
N,273.35,8.67,52.34,2.54,527.76,6.51,38.41,2.43,182.88,9.04,63.65,2.71,473.5,6.38,21.27,2.64,279.27,8.21,17.74,2.79,276.57,7.37,30.52,2.61,216.26,7.62,42.5,2.49
N,164.15,7.66,123.54,4.74,165.87,7.14,83.9,4.07,154.68,6.98,87.56,3.63,153.76,4.75,100.08,3.18,190.2,5.3,67.63,3.16,248.47,3.95,40.79,3.7,268.26,5.27,37.66,4.1
N,174.67,12.76,43.13,10.82,124.86,3.69,63.16,11.41,150.69,13.05,57.69,13.82,130.09,11.66,62.55,13.12,116.47,4.93,60.87,7.53,104.77,6.62,86.11,7.71,181.24,5.99,69.02,7.97
N,69.97,-20.85,288.5,23.03,94.21,-4.75,189.14,30.25,112.14,-3.83,128.23,30.81,141.02,-13.89,108.86,25.34,63.91,3.48,89.54,12.27,213.19,-0.6,94.07,17.88,325.36,-26.32,20.38,4.91
N,971.08,2.59,12.47,11.52,846.08,-5.19,13.28,11.4,703.89,-16.21,16.75,10.3,156.63,-96.18,22.53,11.63,199.21,5.87,23.4,14.71,192.36,-6.39,13.83,9.12,957.54,-18.87,5.94,7.71
