audit,2011A,2011B,2011C,2011D,2011E,2011F,2012A,2012B,2012C,2012D,2012E,2012F,2013A,2013B,2013C,2013D,2013E,2013F,2014A,2014B,2014C,2014D,2014E,2014F,2015A,2015B,2015C,2015D,2015E,2015F
N,33.59,74.86,113.19,21156718000,0.85,38.68,19.74,83.52,593.01,20447253000,1.17,103.24,26.71,78.92,420.19,21978884000,1.11,20.29,36.99,73,343.72,24899545000,1.03,16.97,27.34,78.53,423.77,22368470000,0.85,50.6
N,32.18,75.65,113.19,47224280000,0.91,12.47,35.61,73.74,187.41,50940172000,1.12,16.78,22.72,81.48,232.79,48036790000,0.98,15.08,18.24,84.58,524.62,46576353000,0.85,11.99,69.15,59.12,135.81,65057969000,0.67,12.27
N,24.11,80.58,113.19,92851346000,0.79,9.77,22.79,81.44,363.22,95225894000,0.83,10.01,19.69,83.55,544.1,95501715000,0.66,8.98,17.36,85.21,356.67,95921852000,0.56,6.95,12.23,89.1,535.05,92384004000,0.62,7.07
N,44.31,69.29,113.19,8.79E+11,0.89,8.36,42.36,70.25,185.9,8.70E+11,0.98,12.44,30.38,76.7,239.54,8.50E+11,1.13,15.37,45.73,68.62,184.11,9.39E+11,0.94,11.47,46.18,68.41,190.98,9.60E+11,1.02,12.77
N,100.93,49.77,113.19,77155787000,0.71,4.97,133.59,42.81,87.23,93378396000,0.76,6.03,125.24,44.4,77.85,95122281000,0.7,7.76,101.08,49.73,82.73,93279884000,0.71,8.82,101.08,49.73,65.24,1.10E+11,0.83,10.35
N,86.54,53.61,113.19,6.07E+11,0.52,6.85,73.53,57.63,43.37,6.05E+11,0.42,4.96,56.74,63.8,93.71,5.04E+11,0.34,4.2,50.01,66.66,86.82,5.06E+11,0.39,5.63,51.47,66.02,68.74,5.86E+11,0.54,7.32
N,114.17,46.69,113.19,2.05E+11,2.07,16.19,175.67,36.28,71.76,2.42E+11,2.28,22.1,139.4,41.77,74.85,2.30E+11,1.61,16.36,106.46,48.43,102.27,1.91E+11,1.64,18.17,100.93,49.77,89.4,1.25E+11,0.98,16.82
N,93.4,51.71,113.19,84482471000,0.62,37.19,95.68,51.1,51.79,77725680000,0.58,35.94,120.08,45.44,37.84,75998522000,0.63,40.51,142.11,41.3,27.76,70349702000,0.86,25.42,130.74,43.34,21.72,60596520000,0.74,15.98
N,98.95,50.26,113.19,57293403000,0.68,2.99,44.69,69.11,95.22,39904191000,0.83,3.54,53.67,65.08,106.76,44094412000,1.05,3.74,32.49,75.48,158.96,43435647000,0.98,3.36,11.53,89.66,741.72,65596464000,0.83,4.07
N,157,38.91,113.19,44033761000,0.58,164.71,233.12,30.02,45.26,30364187000,0.57,191.11,121.97,45.05,176.69,27902170000,0.57,216.92,218.69,31.38,120.26,22070092000,0.89,554.3,104.85,48.82,170.67,14568354000,1.39,967.65
N,97.77,50.56,113.19,1.16E+11,0.94,9.01,96.53,50.88,46.84,1.17E+11,0.85,9.68,113.5,46.84,52.81,1.26E+11,0.78,9.85,117.22,46.04,43.63,1.19E+11,0.7,8.9,113.53,46.83,37,1.17E+11,0.9,8.73
N,36.9,73.04,113.19,3.54E+11,0.33,10.24,28.68,77.71,326.16,3.45E+11,0.39,13.52,26.06,79.33,380.52,3.91E+11,0.05,2.27,24.16,80.54,523.45,2.77E+11,0.04,4.32,25.73,79.53,647.76,2.67E+11,0.06,155.2
